***** begin header *****
X Step Frequency (Hz): 1.000000E+3
X Step Voltage (V): 3.000000E+1
X Piezo Mode: gnd
X Piezo Filter: 16
Y Step Frequency (Hz): 1.000000E+3
Y Step Voltage (V): 3.000000E+1
Y Piezo Mode: gnd
Y Piezo Filter: 16
Z Step Frequency (Hz): 1.000000E+3
Z Step Voltage (V): 3.000000E+1
Z Piezo Mode: stp+
Z Piezo Filter: 16
X DC Offset: 0.000000E+0
Y DC Offset: 0.000000E+0
Z DC Offset: 2.790698E+0
X Steps: 0.000000E+0
Y Steps: 0.000000E+0
Z Steps: 4.004000E+3
X Position: -1.236913E-10
Y Position: -2.910383E-11
Z Position: 4.002960E+5
DLPCA Coupling: DC
DLPCA Gain  (V/A): 10^8 Low noise
Voltage Preamp Cutoff (Hz): 0.1
V Multiplier: 5x
V Gain: 10
I to V Preamp Cutoff (Hz): 0.1
I to V Preamp Multiplier: 1x
I to V Preamp Gain: 1
Sweep Period (s): 1.000000E+2
DAQ Samples/s: 1.000000E+3
Points: 100
Balance Parameter: 9.950000E-1
# of IV Averages: 5.000000E+0
Temperature (K): 6.000000E+0
***** end header *****
Voltage	Current	dIdV
mV	mA	S
-198.68	-198.68	1.0122
-196.69	-196.69	1.0002
-195.36	-195.36	1.0032
-193.38	-193.38	1.0054
-192.05	-192.05	1.0131
-190.07	-190.07	1.0062
-189.4	-189.4	0.99621
-188.08	-188.08	1.0086
-186.09	-186.09	1.0111
-184.11	-184.11	0.99537
-182.78	-182.78	0.98037
-181.46	-181.46	0.98833
-180.79	-180.79	1.0015
-179.47	-179.47	1.0094
-178.81	-178.81	0.99975
-176.82	-176.82	0.9799
-175.5	-175.5	0.99255
-175.5	-175.5	0.99255
-173.51	-173.51	0.9911
-170.86	-170.86	0.99385
-168.87	-168.87	1.0017
-166.89	-166.89	0.99147
-165.56	-165.56	1.0043
-163.58	-163.58	0.99428
-161.59	-161.59	0.99338
-159.6	-159.6	0.98805
-157.62	-157.62	1.0054
-157.62	-157.62	0.99183
-156.29	-156.29	0.99139
-154.97	-154.97	0.98199
-152.98	-152.98	0.99948
-150.99	-150.99	1.008
-148.34	-148.34	1.0121
-147.68	-147.68	1.003
-145.7	-145.7	1.0073
-145.03	-145.03	1.0207
-143.05	-143.05	1.0116
-142.38	-142.38	1.0026
-139.74	-139.74	1.0072
-137.75	-137.75	1.0028
-135.76	-135.76	1.003
-133.77	-133.77	0.99433
-131.79	-131.79	0.99471
-130.46	-130.46	0.99952
-128.48	-128.48	0.99103
-125.83	-125.83	0.99185
-124.5	-124.5	1.0058
-123.84	-123.84	1.0151
-121.85	-121.85	1.0159
-119.21	-119.21	1.0126
-116.56	-116.56	1.0094
-114.57	-114.57	1.0151
-113.25	-113.25	1.0204
-111.92	-111.92	1.0076
-110.6	-110.6	0.99482
-109.27	-109.27	0.9866
-107.28	-107.28	0.98797
-105.3	-105.3	0.98486
-103.31	-103.31	0.98638
-100.66	-100.66	0.98395
-98.013	-98.013	0.97705
-94.702	-94.702	0.97547
-93.377	-93.377	0.95831
-90.728	-90.728	0.96089
-88.742	-88.742	0.95365
-87.417	-87.417	0.93649
-85.43	-85.43	0.92464
-83.444	-83.444	0.90815
-80.795	-80.795	0.89703
-78.146	-78.146	0.88596
-74.834	-74.834	0.89452
-74.172	-74.172	0.90474
-71.523	-71.523	0.89386
-70.199	-70.199	0.88132
-68.212	-68.212	0.89811
-66.225	-66.225	0.91505
-64.238	-64.238	0.91781
-62.914	-62.914	0.93885
-61.589	-61.589	0.9552
-60.265	-60.265	0.98127
-58.94	-58.94	1.0027
-58.278	-58.278	1.0279
-56.954	-56.954	1.0591
-56.291	-56.291	1.0797
-54.967	-54.967	1.1064
-54.305	-54.305	1.1367
-53.642	-53.642	1.1672
-52.98	-52.98	1.2026
-52.318	-52.318	1.2235
-50.993	-50.993	1.2557
-50.331	-50.331	1.2914
-49.007	-49.007	1.3141
-47.682	-47.682	1.3467
-47.02	-47.02	1.3828
-46.358	-46.358	1.4091
-45.695	-45.695	1.4355
-45.033	-45.033	1.462
-44.371	-44.371	1.4935
-43.709	-43.709	1.53
-43.046	-43.046	1.5666
-42.384	-42.384	1.6133
-41.722	-41.722	1.6601
-40.397	-40.397	1.7142
-39.735	-39.735	1.7663
-39.073	-39.073	1.8185
-38.411	-38.411	1.8809
-37.748	-37.748	1.9485
-37.086	-37.086	2.0063
-36.424	-36.424	2.0642
-35.099	-35.099	2.1251
-34.437	-34.437	2.1582
-33.113	-33.113	2.1894
-31.788	-31.788	2.1954
-31.126	-31.126	2.1578
-30.464	-30.464	2.0897
-29.801	-29.801	2.0264
-29.139	-29.139	1.9273
-28.477	-28.477	1.8177
-27.815	-27.815	1.7078
-26.49	-26.49	1.5793
-25.828	-25.828	1.443
-25.166	-25.166	1.3113
-24.503	-24.503	1.1948
-23.841	-23.841	1.0831
-22.517	-22.517	0.97763
-21.854	-21.854	0.87029
-21.192	-21.192	0.78858
-20.53	-20.53	0.71182
-19.868	-19.868	0.64524
-18.543	-18.543	0.58456
-17.881	-17.881	0.51749
-17.881	-17.881	0.45999
-16.556	-16.556	0.43518
-15.894	-15.894	0.39909
-14.57	-14.57	0.37926
-13.907	-13.907	0.34292
-13.245	-13.245	0.28533
-13.245	-13.245	0.31175
-11.921	-11.921	0.26503
-11.258	-11.258	0.24421
-10.596	-10.596	0.22333
-9.2715	-9.2715	0.19204
-8.6093	-8.6093	0.17097
-7.2848	-7.2848	0.14472
-5.9603	-5.9603	0.12368
-4.6358	-4.6358	0.1133
-3.3113	-3.3113	0.097434
-1.3245	-1.3245	0.081601
0.66225	0.66225	0.082012
3.3113	3.3113	0.09358
5.298	5.298	0.11066
5.9603	5.9603	0.13857
7.2848	7.2848	0.15573
8.6093	8.6093	0.17302
9.2715	9.2715	0.19569
10.596	10.596	0.21321
11.921	11.921	0.24211
12.583	12.583	0.27074
13.245	13.245	0.29948
14.57	14.57	0.33457
15.232	15.232	0.36358
16.556	16.556	0.39909
17.219	17.219	0.43979
17.881	17.881	0.49209
18.543	18.543	0.5331
19.205	19.205	0.58576
19.868	19.868	0.65586
20.53	20.53	0.73198
21.854	21.854	0.82722
22.517	22.517	0.92726
23.179	23.179	1.0277
23.841	23.841	1.1459
24.503	24.503	1.2762
25.166	25.166	1.4012
26.49	26.49	1.5412
27.152	27.152	1.6732
27.815	27.815	1.7939
28.477	28.477	1.9033
29.139	29.139	2.0368
29.801	29.801	2.1589
30.464	30.464	2.2163
31.126	31.126	2.262
32.45	32.45	2.2884
33.113	33.113	2.2688
33.775	33.775	2.2432
35.099	35.099	2.2157
35.762	35.762	2.1717
36.424	36.424	2.0975
37.086	37.086	1.9988
37.748	37.748	1.9603
38.411	38.411	1.9034
39.073	39.073	1.8523
40.397	40.397	1.7924
41.06	41.06	1.7469
41.722	41.722	1.6952
42.384	42.384	1.6494
43.046	43.046	1.6095
43.709	43.709	1.5818
45.033	45.033	1.5447
45.695	45.695	1.5167
46.358	46.358	1.4886
47.02	47.02	1.4604
47.682	47.682	1.432
49.007	49.007	1.3938
49.007	49.007	1.3563
50.993	50.993	1.339
51.656	51.656	1.3227
52.318	52.318	1.2874
52.318	52.318	1.2874
53.642	53.642	1.2543
54.305	54.305	1.2314
54.967	54.967	1.2083
56.291	56.291	1.181
56.954	56.954	1.1577
58.278	58.278	1.1236
59.603	59.603	1.0957
60.927	60.927	1.0676
62.914	62.914	1.0412
63.576	63.576	1.0106
64.901	64.901	0.98172
66.225	66.225	0.96575
67.55	67.55	0.93645
69.536	69.536	0.95504
71.523	71.523	0.93377
74.172	74.172	0.93406
76.821	76.821	0.9207
79.47	79.47	0.93431
82.781	82.781	0.93594
85.43	85.43	0.94265
88.079	88.079	0.9563
89.404	89.404	0.98065
91.391	91.391	0.95757
94.04	94.04	0.98535
96.026	96.026	1.0045
97.351	97.351	0.99354
99.338	99.338	0.97683
101.32	101.32	0.9815
103.97	103.97	1.0094
105.96	105.96	0.9994
108.61	108.61	1.0126
109.93	109.93	0.97875
112.58	112.58	0.98423
115.23	115.23	1.0118
117.88	117.88	1.0096
121.19	121.19	1.0157
123.18	123.18	1.0268
125.17	125.17	1.0226
126.49	126.49	1.0323
128.48	128.48	1.005
131.79	131.79	1.0097
133.11	133.11	0.98849
135.76	135.76	0.97632
139.07	139.07	0.98752
140.4	140.4	1.0042
142.38	142.38	0.98278
143.71	143.71	0.98382
146.36	146.36	0.99338
149.01	149.01	1.0104
150.99	150.99	1.0034
152.98	152.98	0.98845
156.29	156.29	0.98115
158.28	158.28	0.99669
159.6	159.6	1.0043
161.59	161.59	0.99611
164.24	164.24	0.98737
166.89	166.89	1.0015
168.87	168.87	0.99237
170.86	170.86	1.0062
173.51	173.51	1.0113
175.5	175.5	1.0245
176.82	176.82	1.0074
179.47	179.47	1.0267
182.12	182.12	1.0071
185.43	185.43	0.99358
187.42	187.42	0.99723
190.07	190.07	0.98406
193.38	193.38	0.97638
194.7	194.7	1.0028
196.69	196.69	1.0123
197.35	197.35	0.99574

