wl,n,k,,
0.00012399,0.99999460,0.00000008,0.99998920,0.00000016
0.00013051,0.99999400,0.00000013,0.99998800,0.00000025
0.00013776,0.99999300,0.00000012,0.99998600,0.00000025
0.00015498,0.99999100,0.00000019,0.99998200,0.00000038
0.00017712,0.99998900,0.00000031,0.99997800,0.00000063
0.00020664,0.99998400,0.00000055,0.99996800,0.00000110
0.00024797,0.99998000,0.00000107,0.99996000,0.00000215
0.00030996,0.99997000,0.00000248,0.99994000,0.00000497
0.00035424,0.99995000,0.00000405,0.99990000,0.00000810
0.00041328,0.99994000,0.00000714,0.99988000,0.00001428
0.00049594,0.99991000,0.00001364,0.99982001,0.00002728
0.00061993,0.99987000,0.00003208,0.99974002,0.00006415
0.00065255,0.99986000,0.00003850,0.99972002,0.00007698
0.00068881,0.99985000,0.00004714,0.99970002,0.00009426
0.00072932,0.99984000,0.00005797,0.99968002,0.00011593
0.00074021,0.99984000,0.00006163,0.99968002,0.00012325
0.00077734,0.99986000,0.00007486,0.99972001,0.00014970
0.00078472,0.99987000,0.00007848,0.99974001,0.00015694
0.00079274,0.99990000,0.00008542,0.99980000,0.00017082
0.00079376,0.99992000,0.00007185,0.99984000,0.00014368
0.00079478,0.99993000,0.00005000,0.99986000,0.00009999
0.00079529,0.99992000,0.00004113,0.99984000,0.00008226
0.00079580,0.99992000,0.00003291,0.99984001,0.00006582
0.00079785,0.99991000,0.00002369,0.99982001,0.00004737
0.00079887,0.99991000,0.00001103,0.99982001,0.00002205
0.00079990,0.99989000,0.00000605,0.99978001,0.00001210
0.00080510,0.99987000,0.00000619,0.99974002,0.00001238
0.00081569,0.99985000,0.00000648,0.99970002,0.00001296
0.00082657,0.99983000,0.00000680,0.99966003,0.00001361
0.00085507,0.99981000,0.00000784,0.99962004,0.00001568
0.00088561,0.99979000,0.00000894,0.99958004,0.00001788
0.00095373,0.99974000,0.00001164,0.99948007,0.00002327
0.00103320,0.99968000,0.00001563,0.99936010,0.00003125
0.00112710,0.99961000,0.00002159,0.99922015,0.00004316
0.00123990,0.99953000,0.00003112,0.99906022,0.00006220
0.00137760,0.99940000,0.00004677,0.99880036,0.00009349
0.00154980,0.99924000,0.00007299,0.99848057,0.00014587
0.00177120,0.99898000,0.00011811,0.99796103,0.00023598
0.00206640,0.99860000,0.00022001,0.99720191,0.00043940
0.00247970,0.99797000,0.00043503,0.99594393,0.00086829
0.00309960,0.99694000,0.00096887,0.99388842,0.00193181
0.00413280,0.99480000,0.00234920,0.98962152,0.00467397
0.00495940,0.99313000,0.00418630,0.98628967,0.00831508
0.00619930,0.99111000,0.00750990,0.98224263,0.01488627
0.00652550,0.99054000,0.00847160,0.98109772,0.01678292
0.00688810,0.99007000,0.00965170,0.98014545,0.01911172
0.00729320,0.98909000,0.01098700,0.97817831,0.02173426
0.00774910,0.98912000,0.01372800,0.97816992,0.02715728
0.00826570,0.98966000,0.01477300,0.97920867,0.02924049
0.00855070,0.98934000,0.01543700,0.97855533,0.03054488
0.00885610,0.98883000,0.01630400,0.97751895,0.03224377
0.00918410,0.98793000,0.01776500,0.97569009,0.03510115
0.00953730,0.98761000,0.02060600,0.97494890,0.04070138
0.00991880,0.98941000,0.02342100,0.97838360,0.04634594
0.01033200,0.99139000,0.02406300,0.98227510,0.04771164
0.01078100,0.99233000,0.02492800,0.98409742,0.04947360
0.01127100,0.99415000,0.02545200,0.98768642,0.05060621
0.01180800,0.99285000,0.02441500,0.98515503,0.04848087
0.01239900,0.99123000,0.02992000,0.98164171,0.05931520
0.01265200,0.99265000,0.03306100,0.98426099,0.06563600
0.01291500,0.99652000,0.03588300,0.99176452,0.07151625
0.01319000,1.00120000,0.03531100,1.00115457,0.07070675
0.01347700,1.00410000,0.03339200,1.00710178,0.06705781
0.01377600,1.00580000,0.03091800,1.01067772,0.06219465
0.01408900,1.00600000,0.02895600,1.01119755,0.05825947
0.01441700,1.00650000,0.02823200,1.01224520,0.05683102
0.01476000,1.00740000,0.02682600,1.01413513,0.05404902
0.01512000,1.00770000,0.02546000,1.01481108,0.05131208
0.01549800,1.00750000,0.02447600,1.01445718,0.04931914
0.01569400,1.00750000,0.02450100,1.01445595,0.04936952
0.01589600,1.00780000,0.02475700,1.01504793,0.04990021
0.01610200,1.00950000,0.02518000,1.01845622,0.05083842
0.01631400,1.01060000,0.02385300,1.02074339,0.04821168
0.01642200,1.01100000,0.02395500,1.02154716,0.04843701
0.01653100,1.01180000,0.02402000,1.02316228,0.04860687
0.01664200,1.01320000,0.02434300,1.02598166,0.04932866
0.01675500,1.01510000,0.02418400,1.02984314,0.04909836
0.01677700,1.01560000,0.02422800,1.03085636,0.04921191
0.01680000,1.01610000,0.02428200,1.03186959,0.04934588
0.01682300,1.01670000,0.02437500,1.03308475,0.04956413
0.01684600,1.01730000,0.02449900,1.03429909,0.04984567
0.01686900,1.01810000,0.02483100,1.03591103,0.05056088
0.01689200,1.01940000,0.02543200,1.03852957,0.05185076
0.01691500,1.02190000,0.02601800,1.04360267,0.05317559
0.01693800,1.02590000,0.02422700,1.05188386,0.04970896
0.01696100,1.02620000,0.01956400,1.05270369,0.04015315
0.01698400,1.02460000,0.01914500,1.04943863,0.03923193
0.01700800,1.02550000,0.02001200,1.05124977,0.04104461
0.01703100,1.03050000,0.02007200,1.06152736,0.04136839
0.01705400,1.03490000,0.01247600,1.07086236,0.02582282
0.01707800,1.03050000,0.00411640,1.06191331,0.00848390
0.01710100,1.02490000,0.00362180,1.05040689,0.00742397
0.01712500,1.02260000,0.00341410,1.04569910,0.00698252
0.01714900,1.02060000,0.00344000,1.04161253,0.00702173
0.01717200,1.01920000,0.00347670,1.03875655,0.00708691
0.01719600,1.01790000,0.00348770,1.03610825,0.00710026
0.01720800,1.01740000,0.00351080,1.03509043,0.00714378
0.01722000,1.01690000,0.00352490,1.03407319,0.00716894
0.01746300,1.01080000,0.00349570,1.02170442,0.00706691
0.01771200,1.00700000,0.00354250,1.01403645,0.00713460
0.01823300,1.00190000,0.00367300,1.00379012,0.00735996
0.01878600,0.99791000,0.00389260,0.99580922,0.00776893
0.01937300,0.99457000,0.00410920,0.98915260,0.00817377
0.01999800,0.99143000,0.00423970,0.98291547,0.00840673
0.02066400,0.98827000,0.00436960,0.97665850,0.00863669
0.02254300,0.97998000,0.00500040,0.96033580,0.00980058
0.02479700,0.97048000,0.00574690,0.94179840,0.01115450
0.02755200,0.95834000,0.00661910,0.91837174,0.01268670
0.03099600,0.94189000,0.00784660,0.88709520,0.01478127
0.03542400,0.91802000,0.00931210,0.84267401,0.01709739
0.04132800,0.88013000,0.01165100,0.77449307,0.02050879
0.04959400,0.81512000,0.01589400,0.66416800,0.02591103
0.06199300,0.67912000,0.02234000,0.46070490,0.03034308
0.06525500,0.63242000,0.02477000,0.39934150,0.03133009
0.06888100,0.57251000,0.02768100,0.32700146,0.03169530
0.07293200,0.49131000,0.03240900,0.24033517,0.03184573
0.07749100,0.37197000,0.04420200,0.13640786,0.03288364
0.07847200,0.34031000,0.04832000,0.11347607,0.03288756
0.07947800,0.30373000,0.05334900,0.08940580,0.03240738
0.07999000,0.28271000,0.05669700,0.07671039,0.03205762
0.08051000,0.25936000,0.06140700,0.06349679,0.03185304
0.08103600,0.23344000,0.06834800,0.04982278,0.03191031
0.08156900,0.20569000,0.07995900,0.03591493,0.03289353
0.08210900,0.17943000,0.09422300,0.02331715,0.03381287
0.08265700,0.15065000,0.11041000,0.01050505,0.03326653
0.08377400,0.09451700,0.16589000,-0.01858603,0.03135885
0.08492100,0.06704100,0.23420000,-0.05035514,0.03140200
0.08610100,0.05486300,0.29293000,-0.08279804,0.03214204
0.08856100,0.04416800,0.39115000,-0.15104751,0.03455263
0.09537300,0.03643700,0.59086000,-0.34778788,0.04305833
0.10332000,0.03575300,0.77163000,-0.59413458,0.05517617
0.11271000,0.03846800,0.95677000,-0.91392905,0.07361006
0.12399000,0.04630400,1.15550000,-1.33303619,0.10700854
0.13776000,0.05716700,1.37750000,-1.89423818,0.15749509
0.15498000,0.07250500,1.63660000,-2.67320258,0.23732337
0.17712000,0.09423600,1.95190000,-3.80103319,0.36787850
0.20664000,0.12677000,2.35630000,-5.53607906,0.59741630
0.24797000,0.18137000,2.90290000,-8.39393333,1.05299795
0.30996000,0.28003000,3.70810000,-13.67158881,2.07675849
0.32628000,0.31474000,3.91650000,-15.23991098,2.46535842
0.36466000,0.39877000,4.39570000,-19.16316098,3.50574658
0.41328000,0.52135000,5.00080000,-24.73619482,5.21433416
0.44280000,0.60790000,5.36760000,-28.44158735,6.52592808
0.47687000,0.72780000,5.77810000,-32.85674677,8.41060236
0.51660000,0.87340000,6.24180000,-38.19723968,10.90317624
0.56357000,1.07280000,6.78390000,-44.87039937,14.55553584
0.61993000,1.36600000,7.40520000,-52.97103104,20.23100640
0.65225000,1.57240000,7.73540000,-57.36397140,24.32628592
0.68881000,1.83010000,8.06010000,-61.61594600,29.50157802
0.72932000,2.16060000,8.35650000,-65.16289989,36.11010780
0.77491000,2.61540000,8.49140000,-65.26355680,44.41681512
0.79478000,2.76750000,8.38660000,-62.67600331,46.41983100
0.81569000,2.76680000,8.25730000,-60.52782105,45.69259528
0.83774000,2.69450000,8.18780000,-59.77973859,44.12405420
0.88561000,2.28020000,8.11340000,-60.62794752,37.00034936
0.91166000,1.97390000,8.30580000,-65.09003243,32.78963724
0.93928000,1.67840000,8.59700000,-71.09138244,28.85840960
0.96863000,1.48670000,9.06550000,-79.97301336,26.95535770
0.99988000,1.43590000,9.49390000,-88.07232840,27.26458202
1.03320000,1.39980000,9.89140000,-95.88035392,27.69196344
